,Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,tot_pop
318,4.0,Germany,,2020-01-28 23:00:00,,,Bavaria,,82790000
370,4.0,Germany,,2020-01-29 19:30:00,,,Bavaria,,82790000
426,4.0,Germany,,2020-01-30 16:00:00,,,Bavaria,,82790000
471,5.0,Germany,,2020-01-31 23:59:00,,,Bavaria,,82790000
530,8.0,Germany,0.0,2020-02-01 18:33:00,,,,0.0,82790000
595,10.0,Germany,0.0,2020-02-02 18:03:05,,,,0.0,82790000
662,12.0,Germany,0.0,2020-02-03 20:53:02,,,,0.0,82790000
730,12.0,Germany,0.0,2020-02-03 20:53:02,,,,0.0,82790000
800,12.0,Germany,0.0,2020-02-03 20:53:02,,,,0.0,82790000
872,12.0,Germany,0.0,2020-02-03 20:53:02,,,,0.0,82790000
944,13.0,Germany,0.0,2020-02-07 16:33:03,,,,0.0,82790000
1017,13.0,Germany,0.0,2020-02-07 16:33:03,,,,0.0,82790000
1089,14.0,Germany,0.0,2020-02-09 06:13:11,,,,0.0,82790000
1161,14.0,Germany,0.0,2020-02-09 06:13:11,,,,0.0,82790000
1233,16.0,Germany,0.0,2020-02-11 19:33:03,,,,0.0,82790000
1306,16.0,Germany,0.0,2020-02-11 19:33:03,,,,0.0,82790000
1379,16.0,Germany,0.0,2020-02-13 15:13:11,,,,1.0,82790000
1453,16.0,Germany,0.0,2020-02-13 15:13:11,,,,1.0,82790000
1528,16.0,Germany,0.0,2020-02-13 15:13:11,,,,1.0,82790000
1603,16.0,Germany,0.0,2020-02-13 15:13:11,,,,1.0,82790000
1678,16.0,Germany,0.0,2020-02-13 15:13:11,,,,1.0,82790000
1753,16.0,Germany,0.0,2020-02-18 17:03:03,,,,12.0,82790000
1828,16.0,Germany,0.0,2020-02-18 17:03:03,,,,12.0,82790000
1904,16.0,Germany,0.0,2020-02-18 17:03:03,,,,12.0,82790000
1982,16.0,Germany,0.0,2020-02-21 23:03:13,,,,14.0,82790000
2066,16.0,Germany,0.0,2020-02-21 23:03:13,,,,14.0,82790000
2150,16.0,Germany,0.0,2020-02-21 23:03:13,,,,14.0,82790000
2236,16.0,Germany,0.0,2020-02-21 23:03:13,,,,14.0,82790000
2327,17.0,Germany,0.0,2020-02-25 21:33:02,,,,14.0,82790000
2419,27.0,Germany,0.0,2020-02-26 23:43:03,,,,15.0,82790000
2516,46.0,Germany,0.0,2020-02-27 23:13:04,,,,16.0,82790000
2622,48.0,Germany,0.0,2020-02-28 00:13:18,,,,16.0,82790000
2733,79.0,Germany,0.0,2020-02-29 14:43:03,,,,16.0,82790000
2847,130.0,Germany,0.0,2020-03-01 23:23:02,51.0,9.0,,16.0,82790000
2969,159.0,Germany,0.0,2020-03-02 20:33:02,51.0,9.0,,16.0,82790000
3108,196.0,Germany,0.0,2020-03-03 20:03:06,51.0,9.0,,16.0,82790000
3257,262.0,Germany,0.0,2020-03-04 19:33:03,51.0,9.0,,16.0,82790000
3410,482.0,Germany,0.0,2020-03-05 17:43:03,51.0,9.0,,16.0,82790000
3580,670.0,Germany,0.0,2020-03-06 17:53:03,51.0,9.0,,17.0,82790000
3778,799.0,Germany,0.0,2020-03-07 17:43:05,51.0,9.0,,18.0,82790000
4000,1040.0,Germany,0.0,2020-03-08 21:03:03,51.0,9.0,,18.0,82790000
4255,1176.0,Germany,2.0,2020-03-09 18:13:11,51.0,9.0,,18.0,82790000
4519,1457.0,Germany,2.0,2020-03-10 18:53:02,51.0,9.0,,18.0,82790000
4725,1908.0,Germany,3.0,2020-03-11 19:13:17,51.0,9.0,,25.0,82790000
5206,3675.0,Germany,7.0,2020-03-11 20:00:00,51.1657,10.4515,,46.0,82790000
4941,2078.0,Germany,3.0,2020-03-12 09:53:06,51.0,9.0,,25.0,82790000
5388,4585.0,Germany,9.0,2020-03-14 22:13:11,51.1657,10.4515,,46.0,82790000
5637,5795.0,Germany,11.0,2020-03-15 18:20:18,51.1657,10.4515,,46.0,82790000
5895,7272.0,Germany,17.0,2020-03-16 20:13:11,51.1657,10.4515,,67.0,82790000
6166,9257.0,Germany,24.0,2020-03-17 18:53:02,51.1657,10.4515,,67.0,82790000
6442,12327.0,Germany,28.0,2020-03-18 19:33:02,51.1657,10.4515,,105.0,82790000
6726,15320.0,Germany,44.0,2020-03-19 20:13:08,51.1657,10.4515,,113.0,82790000
7017,19848.0,Germany,67.0,2020-03-20 20:13:15,51.1657,10.4515,,180.0,82790000
7316,22213.0,Germany,84.0,2020-03-21 20:43:02,51.1657,10.4515,,233.0,82790000
7620,24873.0,Germany,94.0,2020-03-22 23:43:02,51.1657,10.4515,,266.0,82790000
