Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered
1.0,Mainland China,,2020-01-22 17:00:00,,,Anhui,
14.0,Mainland China,,2020-01-22 17:00:00,,,Beijing,
6.0,Mainland China,,2020-01-22 17:00:00,,,Chongqing,
1.0,Mainland China,,2020-01-22 17:00:00,,,Fujian,
,Mainland China,,2020-01-22 17:00:00,,,Gansu,
26.0,Mainland China,,2020-01-22 17:00:00,,,Guangdong,
2.0,Mainland China,,2020-01-22 17:00:00,,,Guangxi,
1.0,Mainland China,,2020-01-22 17:00:00,,,Guizhou,
4.0,Mainland China,,2020-01-22 17:00:00,,,Hainan,
1.0,Mainland China,,2020-01-22 17:00:00,,,Hebei,
,Mainland China,,2020-01-22 17:00:00,,,Heilongjiang,
5.0,Mainland China,,2020-01-22 17:00:00,,,Henan,
,Hong Kong,,2020-01-22 17:00:00,,,Hong Kong,
444.0,Mainland China,17.0,2020-01-22 17:00:00,,,Hubei,28.0
4.0,Mainland China,,2020-01-22 17:00:00,,,Hunan,
,Mainland China,,2020-01-22 17:00:00,,,Inner Mongolia,
1.0,Mainland China,,2020-01-22 17:00:00,,,Jiangsu,
2.0,Mainland China,,2020-01-22 17:00:00,,,Jiangxi,
,Mainland China,,2020-01-22 17:00:00,,,Jilin,
2.0,Mainland China,,2020-01-22 17:00:00,,,Liaoning,
1.0,Macau,,2020-01-22 17:00:00,,,Macau,
1.0,Mainland China,,2020-01-22 17:00:00,,,Ningxia,
,Mainland China,,2020-01-22 17:00:00,,,Qinghai,
,Mainland China,,2020-01-22 17:00:00,,,Shaanxi,
2.0,Mainland China,,2020-01-22 17:00:00,,,Shandong,
9.0,Mainland China,,2020-01-22 17:00:00,,,Shanghai,
1.0,Mainland China,,2020-01-22 17:00:00,,,Shanxi,
5.0,Mainland China,,2020-01-22 17:00:00,,,Sichuan,
1.0,Taiwan,,2020-01-22 17:00:00,,,Taiwan,
4.0,Mainland China,,2020-01-22 17:00:00,,,Tianjin,
,Mainland China,,2020-01-22 17:00:00,,,Tibet,
1.0,US,,2020-01-22 17:00:00,,,Washington,
,Mainland China,,2020-01-22 17:00:00,,,Xinjiang,
1.0,Mainland China,,2020-01-22 17:00:00,,,Yunnan,
10.0,Mainland China,,2020-01-22 17:00:00,,,Zhejiang,
2.0,Japan,,2020-01-22 17:00:00,,,,
2.0,Thailand,,2020-01-22 17:00:00,,,,
1.0,South Korea,,2020-01-22 17:00:00,,,,
9.0,Mainland China,,2020-01-23 17:00:00,,,Anhui,
22.0,Mainland China,,2020-01-23 17:00:00,,,Beijing,
9.0,Mainland China,,2020-01-23 17:00:00,,,Chongqing,
5.0,Mainland China,,2020-01-23 17:00:00,,,Fujian,
2.0,Mainland China,,2020-01-23 17:00:00,,,Gansu,
32.0,Mainland China,,2020-01-23 17:00:00,,,Guangdong,2.0
5.0,Mainland China,,2020-01-23 17:00:00,,,Guangxi,
3.0,Mainland China,,2020-01-23 17:00:00,,,Guizhou,
5.0,Mainland China,,2020-01-23 17:00:00,,,Hainan,
1.0,Mainland China,1.0,2020-01-23 17:00:00,,,Hebei,
2.0,Mainland China,,2020-01-23 17:00:00,,,Heilongjiang,
5.0,Mainland China,,2020-01-23 17:00:00,,,Henan,
2.0,Hong Kong,,2020-01-23 17:00:00,,,Hong Kong,
444.0,Mainland China,17.0,2020-01-23 17:00:00,,,Hubei,28.0
9.0,Mainland China,,2020-01-23 17:00:00,,,Hunan,
,Mainland China,,2020-01-23 17:00:00,,,Inner Mongolia,
5.0,Mainland China,,2020-01-23 17:00:00,,,Jiangsu,
7.0,Mainland China,,2020-01-23 17:00:00,,,Jiangxi,
